timestamp,Rad_avg,Tamb_avg,Tmod_avg,Rad_max,Tamb_max,Tmod_max,Rad_min,Tamb_min,Tmod_min,Rad_std,Tamb_std,Tmod_std,Pa1
2019-07-04 05:40:00+00:00,28.38333333333333,14.266666666666666,12.541666666666666,37.8,14.3,12.8,20.8,14.2,12.4,5.113055185829048,0.04923659639173381,0.11645001528813227,1157.3233333333333
2019-07-04 05:50:00+00:00,38.44166666666667,14.391666666666664,12.975,50.0,14.7,13.1,28.1,14.2,12.6,6.515918735657849,0.16764862244009152,0.16025547785276564,1641.2083333333333
2019-07-04 06:00:00+00:00,46.31999999999999,14.76,13.45,54.9,15.0,13.6,39.1,14.5,13.1,4.9016216435830815,0.15694450913417943,0.1357241785076581,1972.658
2019-07-04 06:10:00+00:00,54.51999999999998,14.853333333333333,13.886666666666665,63.5,15.3,14.2,45.2,14.5,13.6,4.4467002211913105,0.23258383025317658,0.1355763710273747,2370.5026666666668
2019-07-04 06:20:00+00:00,56.25384615384615,15.246153846153847,14.430769230769233,64.7,15.5,14.8,50.0,14.8,14.2,4.761235026162747,0.2295480509442578,0.14935759876113502,2500.490769230769
2019-07-04 06:30:00+00:00,84.72666666666667,15.753333333333334,15.18666666666667,95.2,16.3,15.8,69.6,15.3,14.5,7.401782282152108,0.3248442850410169,0.3583028779970287,3574.2466666666664
2019-07-04 06:40:00+00:00,118.41818181818181,15.990909090909092,16.19090909090909,145.3,16.9,16.9,98.9,15.4,15.7,16.05134375569959,0.5430553295098864,0.41822134200574945,4713.07
2019-07-04 06:50:00+00:00,179.27142857142854,17.571428571428573,18.857142857142858,188.0,18.0,19.7,158.7,16.9,17.5,11.174034527378561,0.38606685826113046,0.8202786982831768,6712.32
2019-07-04 07:00:00+00:00,131.2923076923077,17.123076923076926,20.092307692307696,181.9,17.7,20.5,81.8,16.2,19.5,37.65418218335696,0.5449064845669198,0.34751867686389154,4795.628461538461
2019-07-04 07:10:00+00:00,215.82000000000002,17.07,20.44,230.7,18.0,21.3,189.2,16.7,19.7,13.63800246044527,0.4347413023856848,0.4880801391392858,7969.515999999999
2019-07-04 07:20:00+00:00,165.65,17.15,21.4,224.6,18.3,21.8,78.1,16.6,21.0,62.06301975454169,0.4978902859487253,0.19466570535691524,6211.336499999999
2019-07-04 07:30:00+00:00,222.26666666666668,17.758333333333333,22.116666666666664,256.3,18.5,23.0,74.5,17.1,21.4,49.966685871385316,0.46015478291812095,0.5184475660931193,7894.5625
2019-07-04 07:40:00+00:00,268.2,20.85,24.089999999999996,282.0,22.8,25.2,252.7,18.5,23.2,11.01463672674783,1.7315696155030373,0.8130190649671174,9639.468
2019-07-04 07:50:00+00:00,295.26666666666665,22.400000000000002,26.077777777777776,312.5,23.4,27.4,285.6,21.1,25.3,9.867370470393842,0.8944271909999161,0.7084803768944083,10377.148888888889
2019-07-04 08:00:00+00:00,330.33846153846156,20.4,28.400000000000002,346.7,21.3,29.3,314.9,19.7,27.7,10.262678212950284,0.5099019513592774,0.5656854249492393,11420.638461538461
2019-07-04 08:10:00+00:00,362.9666666666667,19.816666666666666,30.049999999999997,376.0,20.4,30.7,345.5,19.0,29.4,12.700813622231706,0.5741660619251776,0.5540758070878045,12393.826666666666
2019-07-04 08:30:00+00:00,432.13333333333327,19.48333333333333,31.05,441.9,19.9,31.5,413.8,19.0,30.7,10.252154245165581,0.3544949458972116,0.32710854467592154,14413.498333333335
2019-07-04 08:40:00+00:00,463.87272727272733,20.045454545454543,32.42727272727273,477.3,20.6,32.9,445.6,19.5,31.7,11.137332796418635,0.3670521389765669,0.4291640923723886,15211.374545454548
2019-07-04 08:50:00+00:00,500.16363636363644,19.918181818181814,32.92727272727273,509.0,20.2,33.2,483.4,19.1,32.7,8.870769158001183,0.3219260219931954,0.22843339988236974,16293.170000000002
2019-07-04 09:00:00+00:00,525.0166666666667,20.291666666666664,33.800000000000004,537.1,20.6,34.2,506.6,19.9,33.2,10.075427654657766,0.2609713789020958,0.34641016151377846,16971.456666666665
2019-07-04 09:10:00+00:00,549.3181818181819,20.663636363636364,35.03636363636363,561.5,21.5,35.4,540.8,19.9,34.5,7.139162161180811,0.5731888471921406,0.3500649290423931,17585.21181818182
2019-07-04 09:20:00+00:00,575.3199999999999,20.91,35.73,587.2,21.6,36.0,561.5,20.5,35.6,9.319251281323286,0.40947120370871637,0.14944341180973023,18306.254999999997
